source_node_id,target_node_id,edge_type,weight,evidence_id,attributes_json
evidence:ev-00303,source:official,from_source,1.0,ev-00303,"{""evidence_id"": ""ev-00303""}"
evidence:ev-00305,source:official,from_source,1.0,ev-00305,"{""evidence_id"": ""ev-00305""}"
evidence:ev-00308,source:official,from_source,1.0,ev-00308,"{""evidence_id"": ""ev-00308""}"
evidence:ev-00313,source:official,from_source,1.0,ev-00313,"{""evidence_id"": ""ev-00313""}"
evidence:ev-00314,source:official,from_source,1.0,ev-00314,"{""evidence_id"": ""ev-00314""}"
evidence:ev-00319,source:official,from_source,1.0,ev-00319,"{""evidence_id"": ""ev-00319""}"
evidence:ev-00320,source:official,from_source,1.0,ev-00320,"{""evidence_id"": ""ev-00320""}"
evidence:ev-00327,source:official,from_source,1.0,ev-00327,"{""evidence_id"": ""ev-00327""}"
evidence:ev-00328,source:official,from_source,1.0,ev-00328,"{""evidence_id"": ""ev-00328""}"
evidence:ev-00332,source:official,from_source,1.0,ev-00332,"{""evidence_id"": ""ev-00332""}"
evidence:ev-00337,source:official,from_source,1.0,ev-00337,"{""evidence_id"": ""ev-00337""}"
evidence:ev-00341,source:official,from_source,1.0,ev-00341,"{""evidence_id"": ""ev-00341""}"
evidence:ev-00345,source:official,from_source,1.0,ev-00345,"{""evidence_id"": ""ev-00345""}"
evidence:ev-00304,source:public_interaction,from_source,1.0,ev-00304,"{""evidence_id"": ""ev-00304""}"
evidence:ev-00306,source:public_interaction,from_source,1.0,ev-00306,"{""evidence_id"": ""ev-00306""}"
evidence:ev-00315,source:public_interaction,from_source,1.0,ev-00315,"{""evidence_id"": ""ev-00315""}"
evidence:ev-00324,source:public_interaction,from_source,1.0,ev-00324,"{""evidence_id"": ""ev-00324""}"
evidence:ev-00334,source:public_interaction,from_source,1.0,ev-00334,"{""evidence_id"": ""ev-00334""}"
evidence:ev-00335,source:public_interaction,from_source,1.0,ev-00335,"{""evidence_id"": ""ev-00335""}"
evidence:ev-00336,source:public_interaction,from_source,1.0,ev-00336,"{""evidence_id"": ""ev-00336""}"
evidence:ev-00338,source:public_interaction,from_source,1.0,ev-00338,"{""evidence_id"": ""ev-00338""}"
evidence:ev-00340,source:public_interaction,from_source,1.0,ev-00340,"{""evidence_id"": ""ev-00340""}"
evidence:ev-00307,source:news,from_source,1.0,ev-00307,"{""evidence_id"": ""ev-00307""}"
evidence:ev-00318,source:news,from_source,1.0,ev-00318,"{""evidence_id"": ""ev-00318""}"
evidence:ev-00339,source:news,from_source,1.0,ev-00339,"{""evidence_id"": ""ev-00339""}"
evidence:ev-00300,source:public_web,from_source,1.0,ev-00300,"{""evidence_id"": ""ev-00300""}"
evidence:ev-00309,source:public_web,from_source,1.0,ev-00309,"{""evidence_id"": ""ev-00309""}"
evidence:ev-00321,source:public_web,from_source,1.0,ev-00321,"{""evidence_id"": ""ev-00321""}"
evidence:ev-00325,source:public_web,from_source,1.0,ev-00325,"{""evidence_id"": ""ev-00325""}"
evidence:ev-00329,source:public_web,from_source,1.0,ev-00329,"{""evidence_id"": ""ev-00329""}"
evidence:ev-00354,source:official,from_source,1.0,ev-00354,"{""evidence_id"": ""ev-00354""}"
evidence:ev-00364,source:official,from_source,1.0,ev-00364,"{""evidence_id"": ""ev-00364""}"
evidence:ev-00372,source:official,from_source,1.0,ev-00372,"{""evidence_id"": ""ev-00372""}"
evidence:ev-00390,source:official,from_source,1.0,ev-00390,"{""evidence_id"": ""ev-00390""}"
evidence:ev-00368,source:public_social,from_source,1.0,ev-00368,"{""evidence_id"": ""ev-00368""}"
evidence:ev-00379,source:public_social,from_source,1.0,ev-00379,"{""evidence_id"": ""ev-00379""}"
evidence:ev-00380,source:public_social,from_source,1.0,ev-00380,"{""evidence_id"": ""ev-00380""}"
evidence:ev-00374,source:news,from_source,1.0,ev-00374,"{""evidence_id"": ""ev-00374""}"
evidence:ev-00352,source:official,from_source,1.0,ev-00352,"{""evidence_id"": ""ev-00352""}"
evidence:ev-00382,source:official,from_source,1.0,ev-00382,"{""evidence_id"": ""ev-00382""}"
evidence:ev-00396,source:official,from_source,1.0,ev-00396,"{""evidence_id"": ""ev-00396""}"
